,Price,Currency,Euro_Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
8130,36000,EUR,35000,Sport Boat,Yamarin power boats,"Used boat,Unleaded",2017,5.73,2.2,GRP,Germany,151
8132,36000,EUR,35000,Pilothouse,Catarsi power boats,"Used boat,Diesel",1983,9.8,3.35,GRP,Italy,40
8133,36000,EUR,35000,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2015,6.55,2.54,PVC,France,167
8134,36000,EUR,35000,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2002,8.53,2.59,GRP,Germany,221
8135,36000,EUR,35000,Pilothouse,Parker power boats,"Used boat,Unleaded",2014,6.6,2.5,Plastic,Netherlands,134
8136,36000,EUR,35000,Cabin Boat,De Groot power boats,"Used boat,Diesel",1974,11,3.25,Steel,France,150
8137,36000,EUR,35000,"Cabin Boat,Flybridge,Motor Yacht",Marine Projects power boats,"Used boat,Diesel",1988,12.2,3.4,GRP,Germany,475
8138,36000,EUR,35000,Classic,Comar power boats,Used boat,1995,12.7,3.6,GRP,Italy,237
8139,35990,EUR,35000,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,5.18,2.36,PVC,Spain,54
8140,35990,EUR,35000,Bowrider,Sea Ray power boats,Used boat,2016,5.99,2.21,GRP,Germany,265
8142,35938,EUR,35000,Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,5.27,2.38,PVC,Spain,28
8143,35900,EUR,35000,Bowrider,Sting power boats,new boat from stock,2017,6.1,2.37,GRP,Germany,139
8144,35900,EUR,34990,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2014,7.2,2.51,PVC,France,62
8145,35900,EUR,34990,Sport Boat,Crownline power boats,"Used boat,Unleaded",1999,8,2,GRP,Croatia,79
8147,35900,EUR,34990,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,5.95,2.4,GRP,Germany,64
8148,35900,EUR,34990,Sport Boat,Jeanneau power boats,"Used boat,Unleaded",2011,7.35,2.54,PVC,France,110
8149,38500,CHF,34940,Sport Boat,Chaparral power boats,"Used boat,Unleaded",1998,7.5,2.59,GRP,Switzerland,870
8150,35800,EUR,34900,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,6.02,2.34,GRP,Germany,36
8151,35800,EUR,34900,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.04,2.26,PVC,France,110
8152,32500,Â£,34900,Motor Yacht,Nimbus power boats,"Used boat,Diesel",1988,10.06,3.2,PVC,United state,106
8154,35500,EUR,34800,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2012,7.23,2.78,PVC,France,148
8156,37900,CHF,34800,Runabout,Boesch power boats,"Used boat,Unleaded",2000,5.6,2.2,Wood,Switzerland,427
8157,35020,EUR,34510,Bowrider,Yamarin power boats,new boat from stock,2020,6.31,2.32,Aluminium,Germany,210
8158,35000,EUR,34500,Sport Boat,Mochi Craft power boats,Used boat,1980,9,3.05,GRP,Italy,80
8161,35000,EUR,34500,Motor Yacht,Regal power boats,"Used boat,Unleaded",1998,8.9,3.2,GRP,Croatia,77
8162,35000,EUR,34500,Deck Boat,Sea Pro power boats,"Used boat,Unleaded",2004,8.3,2.59,GRP,Italy,74
8163,35000,EUR,34500,Motor Yacht,Mochi Craft power boats,Used boat,1986,9.38,3.58,GRP,Italy,139
8164,35000,EUR,34500,Motor Yacht,Crownline power boats,"Used boat,Unleaded",1999,8.8,2.99,GRP,Croatia,118
8165,35000,EUR,34499,Motor Yacht,Jeanneau power boats,"Used boat,Unleaded",2001,10,3,GRP,Germany,503
8167,35000,EUR,34300,"Center console boat,Classic",Raffaelli power boats,Used boat,1974,9.08,2.87,Wood,Italy,57
8168,35000,EUR,34050,Motor Yacht,Viper power boats,"Used boat,Unleaded",2008,7.25,2.57,GRP,Croatia,190
8169,35000,EUR,33900,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2003,8,2,GRP,Croatia,202
8171,35000,EUR,33900,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2005,7.32,2.55,GRP,Italy,163
8173,35000,EUR,33900,Trawler,Hooveld power boats,"Used boat,Diesel",1980,9.6,2.9,Steel,France,114
8174,35000,EUR,33900,Sport Boat,Viper power boats,"Used boat,Unleaded",2009,7.25,2.57,GRP,Croatia,65
8175,35000,EUR,33900,Pontoon Boat,Bayliner power boats,"Used boat,Unleaded",1996,9.22,3.29,GRP,Italy,328
8177,35000,EUR,33840,Sport Boat,Colombo power boats,"Used boat,Unleaded",1986,8.85,2.75,GRP,Italy,130
8178,35000,EUR,33765,Pilothouse,Jeanneau power boats,"Used boat,Diesel",2004,8.25,2.94,PVC,France,82
8180,35000,EUR,33600,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.87,2.77,GRP,Italy,91
8184,35000,EUR,33500,Sport Boat,Jeanneau power boats,Used boat,2006,7.8,2.95,PVC,Spain,116
8185,35000,EUR,33333,Flybridge,Rodman power boats,"Used boat,Diesel",2001,8.4,3.05,PVC,France,92
8186,35000,EUR,33025,Motor Yacht,Fjord power boats,"Used boat,Diesel",1980,9.5,3.05,GRP,Germany,156
8189,35000,EUR,33015,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1992,12.62,3.75,GRP,Croatia,227
8191,35000,EUR,33000,Launch,Boesch power boats,"Used boat,Unleaded",1972,6.5,2.3,Wood,Spain,172
8194,35000,EUR,33000,"Classic,Hardtop,Motor Yacht",Storebro power boats,"Used boat,Diesel",1987,9.3,3.2,GRP,Italy,317
8195,35000,EUR,33000,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2005,7.49,2.95,Plastic,France,245
8196,35000,EUR,33000,Sport Boat,Regal power boats,"Used boat,Unleaded",2006,8.5,2.5,GRP,Italy,501
8197,35000,EUR,33000,Motor Yacht,Drago Boats power boats,"Used boat,Unleaded",2016,5.95,2.28,Plastic,Netherlands,198
8198,35000,EUR,32900,Sport Boat,Cranchi power boats,"Used boat,Unleaded",2006,7.51,2.83,GRP,Italy,149
8199,35000,EUR,32900,Sport Boat,Boston Whaler power boats,Used boat,1993,6.8,2.3,GRP,Netherlands,76
8200,35000,EUR,32900,Wakeboard/Wakesurf,Malibu power boats,Used boat,2005,6.7,2.5,GRP,Lommel,405
8202,35000,EUR,32800,Cabin Boat,ManÃ² power boats,"Used boat,Gas",2006,9.6,3.2,GRP,Croatia,421
8203,34990,EUR,32608,Flybridge,Coronet power boats,"Used boat,Diesel",1972,10,3.32,GRP,Germany,253
8204,34990,EUR,32590,Motor Yacht,Wellcraft power boats,"Used boat,Unleaded",2001,9,2.9,GRP,Germany,236
8205,34990,EUR,32500,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2019,5.46,2.36,PVC,France,30
8207,34990,EUR,32500,Sport Boat,Chaparral power boats,"Used boat,Unleaded",2008,7.1,2.55,GRP,Germany,178
8208,37800,CHF,32500,Bowrider,Tahoe power boats,"Used boat,Unleaded",2015,6.05,2.38,GRP,Switzerland,529
8209,34940,EUR,32500,Sport Boat,Sensation power boats,"new boat from stock,Unleaded",2019,5.5,2.15,GRP,Spain,49
8210,34900,EUR,32490,Sport Boat,Nordkapp power boats,new boat on order,2018,7.05,2.3,GRP,Germany,116
8212,34900,EUR,32110,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,5.48,2.36,GRP,Germany,78
8213,34900,EUR,32109,Cabin Boat,Hock power boats,"Used boat,Diesel",2006,7.15,2.5,GRP,Germany,144
8214,34800,EUR,32060,Runabout,Boatbuilding Academy Dorset power boats,"Used boat,Unleaded",2010,6,1.7,Wood,Germany,81
8215,34800,EUR,32000,Motor Yacht,Princess power boats,"Used boat,Diesel",1990,9.45,3.42,GRP,Croatia,361
8216,37590,CHF,32000,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,5.75,2.44,GRP,Switzerland,214
8218,37500,CHF,32000,Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",1990,7.6,2.43,GRP,Switzerland,371
8219,34510,EUR,32000,Trawler,Delphia power boats,new boat from stock,2020,8.05,3,GRP,Poland,73
8224,34500,EUR,32000,Trawler,Blom power boats,Used boat,1966,12,3.65,Steel,Netherlands,142
8225,34500,EUR,32000,Bowrider,Rinker power boats,"Used boat,Unleaded",2007,7.98,2.57,PVC,Spain,117
8226,34500,EUR,32000,Launch,Kapiteinssloep power boats,new boat from stock,2012,7.2,2.3,Wood,Netherlands,86
8227,34500,EUR,32000,"Center console boat,Deck Boat,Working Boat",Aluminiumjon power boats,Used boat,2020,5.5,2,Aluminium,Netherlands,86
8229,34500,EUR,32000,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1996,7.16,2.59,GRP,Germany,230
8232,34499,EUR,31685,Pilothouse,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,5.75,2.54,GRP,Germany,153
8233,37100,CHF,31500,Sport Boat,Quicksilver Inflatables power boats,"new boat from stock,Unleaded",2020,5.75,2.36,GRP,Switzerland,125
8234,34300,EUR,31500,Pontoon Boat,Saver power boats,Used boat,2020,7.1,2.53,GRP,Italy,153
8236,37000,CHF,31400,Center console boat,Ganz Boats power boats,"Display Model,Electric",2020,5.8,2.03,GRP,Switzerland,259
8237,37000,CHF,31399,Sport Boat,Boston Whaler power boats,"Used boat,Unleaded",2013,5.74,2.43,GRP,Switzerland,233
8238,36900,CHF,31059,Fishing Boat,Thoma power boats,new boat from stock,2020,6.6,2.1,GRP,Switzerland,147
8239,36900,CHF,31000,"Center console boat,Sport Boat,Water ski",Saver power boats,"Used boat,Unleaded",2020,5.75,2.26,GRP,Switzerland,343
8240,34050,EUR,31000,Pilothouse,Parker power boats,new boat from stock,2018,6.6,2.5,GRP,Germany,73
8242,33900,EUR,30999,Sport Boat,Rand Boats power boats,"Display Model,Electric",2018,5.35,2.1,GRP,Germany,73
8243,33900,EUR,30900,Sport Boat,Rand Boats power boats,"Display Model,Electric",2018,5.35,2.1,GRP,Germany,154
8244,33900,EUR,30900,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2011,7.2,2.51,PVC,France,149
8245,33900,EUR,30499,Sport Boat,BÃ©nÃ©teau power boats,Used boat,2011,7.2,2.51,PVC,France,115
8246,33900,EUR,30355,Sport Boat,Mazury power boats,"Used boat,Unleaded",2016,7,2.55,GRP,Germany,171
8247,33840,EUR,30200,Motor Yacht,Master power boats,new boat on order,2020,6.3,2.68,GRP,France,138
8248,33765,EUR,30000,Sport Boat,Yamarin power boats,new boat from stock,2020,6.3,2.35,GRP,Germany,147
8249,36400,CHF,30000,Bowrider,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,5.73,2.29,GRP,Switzerland,179
8251,33600,EUR,30000,Sport Boat,Orca power boats,"Used boat,Diesel",2006,7.48,2.7,GRP,Spain,236
8252,36000,CHF,30000,Sport Boat,Correct Craft power boats,"Used boat,Unleaded",2005,6.4,2.31,GRP,Switzerland,1834
8256,33500,EUR,30000,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2008,7.15,2.75,PVC,France,69
8257,33333,EUR,30000,Sport Boat,Sea Ray power boats,new boat from stock,2018,6.55,2.54,GRP,Germany,84
8258,36000,CHF,30000,Pontoon Boat,Performance power boats,"Used boat,Unleaded",2001,7.5,2.51,GRP,Switzerland,338
8259,36000,CHF,30000,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2011,8,2.5,Plastic,Switzerland,799
8260,35900,CHF,30000,Sport Boat,Saver power boats,"Used boat,Unleaded",2015,5.88,2.33,GRP,Switzerland,204
8261,35900,CHF,30000,Sport Boat,ATOMIX power boats,"Used boat,Unleaded",2012,8.2,2.36,GRP,Switzerland,885
8262,35780,CHF,30000,Motor Yacht,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,5.55,2.29,GRP,Switzerland,160
8263,33025,EUR,30000,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,5.96,2.26,GRP,Austria,118
8264,33015,EUR,29995,Bowrider,Maxima power boats,new boat from stock,2020,7.2,2.5,GRP,Germany,207
8266,33000,EUR,29990,Sport Boat,Maxum power boats,"Used boat,Unleaded",1999,8,2,GRP,Croatia,74
8267,33000,EUR,29990,Pontoon Boat,Saver power boats,"Used boat,Unleaded",2020,7.4,2.55,GRP,Italy,201
8268,33000,EUR,29990,Pilothouse,Damor power boats,"Used boat,Diesel",2008,6.95,2.7,GRP,Croatia,67
8270,33000,EUR,29990,Sport Boat,Monterey power boats,Used boat,2008,7.32,2.55,GRP,Croatia,200
8271,33000,EUR,29900,Bowrider,Capelli power boats,"new boat from stock,Unleaded",2020,5.5,2.22,GRP,Germany,114
8274,32900,EUR,29900,Sport Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.65,2.2,GRP,Germany,57
8275,32900,EUR,29900,Cabin Boat,Buetzfleth power boats,"Used boat,Diesel",1978,9.55,3.25,GRP,Germany,104
8276,32900,EUR,29900,Bowrider,Chris Craft power boats,"Used boat,Unleaded",2005,7.14,2.52,GRP,Germany,292
8278,29950,Â£,29900,Sport Boat,Bayliner power boats,Used boat,2004,8.1,2.87,PVC,United state,140
8280,35500,CHF,29900,Motor Yacht,B2 Marine power boats,new boat from stock,2020,7,2.48,GRP,Switzerland,166
8281,32800,EUR,29900,Sport Boat,Four Winns power boats,"Used boat,Diesel",1992,8.4,2.6,GRP,Germany,130
8282,35400,CHF,29900,Sport Boat,Thoma power boats,new boat from stock,2020,5.6,1.7,GRP,Switzerland,522
8283,35000,CHF,29900,Pilothouse,Saga power boats,"Used boat,Diesel",1991,7.6,2.75,GRP,Switzerland,448
8284,35000,CHF,29900,"Cabin Boat,Motor Yacht",Sea Ray power boats,"Used boat,Unleaded",1981,9.05,3.5,GRP,Switzerland,414
8285,35000,CHF,29900,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",2003,7.26,2.54,Plastic,Switzerland,488
8286,35000,CHF,29900,Hardtop,Princess power boats,"Used boat,Diesel",1979,11.12,3.88,GRP,Switzerland,2432
8287,32608,EUR,29900,Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2018,5.26,2.34,PVC,Portugal,45
8288,32590,EUR,29500,Cabin Boat,Princess power boats,"Used boat,Diesel",1988,11.28,3.68,GRP,Spain,309
8289,34960,CHF,29500,Pilothouse,DarekCo power boats,"new boat from stock,Unleaded",2020,6.05,2.49,GRP,Switzerland,167
8290,34950,CHF,29500,"Bowrider,Wakeboard/Wakesurf",Moomba power boats,"Used boat,Unleaded",2011,6.25,2.41,GRP,Switzerland,879
8291,32500,EUR,29500,Deck Boat,Marinello power boats,"new boat from stock,Unleaded",2015,5.9,2.48,GRP,Germany,146
8292,32500,EUR,29500,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1970,5.8,2.08,Wood,Italy,237
8293,32500,EUR,29500,Sport Boat,AMT power boats,new boat from stock,2019,6.9,2.6,GRP,Germany,50
8294,32500,EUR,29500,Motor Yacht,Storebro power boats,"Used boat,Diesel",1981,9.28,3.18,GRP,Germany,220
8295,32490,EUR,29500,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,5.52,2.4,GRP,Austria,79
8296,35000,CHF,29500,Cabin Boat,Cranchi power boats,Used boat,2012,7.51,2.83,GRP,Switzerland,630
8297,35000,CHF,29500,Classic,Swiss Craft power boats,"Used boat,Unleaded",1956,9,2.8,Wood,Switzerland,423
8298,35000,CHF,29400,Motor Yacht,Sunseeker power boats,Used boat,1990,9.42,3.3,GRP,Switzerland,706
8299,34990,CHF,29155,Sport Boat,Buster power boats,new boat on order,2020,6.05,2.2,Aluminium,Switzerland,151
8300,34900,CHF,29000,Pilothouse,Nimbus power boats,"Used boat,Unleaded",1989,7.9,2.6,GRP,Switzerland,398
8301,34900,CHF,29000,Center console boat,DarekCo power boats,"new boat from stock,Unleaded",2019,5.68,2.54,GRP,Switzerland,110
8302,34800,CHF,29000,Bowrider,AMT power boats,new boat from stock,2018,5.6,2.25,GRP,Switzerland,279
8303,32110,EUR,29000,Center console boat,Bayliner power boats,"new boat from stock,Unleaded",2020,4.93,2.22,GRP,Germany,202
8304,32109,EUR,29000,Deck Boat,AW power boats,"new boat on order,Unleaded",2020,6.5,2.16,Aluminium,Netherlands,241
8305,32060,EUR,29000,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2019,5.64,2.45,PVC,France,49
8306,32000,EUR,29000,Motor Yacht,Maxum power boats,"Used boat,Unleaded",2008,7.92,2.59,GRP,Germany,190
8310,32000,EUR,29000,Classic,Coronet power boats,"Used boat,Unleaded",1977,6.45,2.45,GRP,Switzerland,306
8312,32000,EUR,29000,Sport Boat,Bayliner power boats,"Used boat,Diesel",1998,7.99,3.5,GRP,Croatia,134
8313,32000,EUR,29000,Sport Boat,Cranchi power boats,"Used boat,Unleaded",1999,7.44,3,GRP,Italy,92
8315,32000,EUR,29000,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",2008,7.8,2.55,GRP,Italy,188
8316,32000,EUR,29000,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2010,7.52,2.59,PVC,France,96
8318,32000,EUR,29000,Motor Yacht,Posillipo power boats,"Used boat,Diesel",1976,12.5,4.26,GRP,Croatia,165
8321,32000,EUR,29000,Classic,Riva power boats,Used boat,1958,5.4,1.9,Wood,Germany,309
8322,32000,EUR,29000,Cabin Boat,Nadirmarine power boats,"Used boat,Unleaded",2011,7.5,2.5,GRP,Italy,586
8323,31685,EUR,25000,Deck Boat,Saver power boats,"new boat from stock,Unleaded",2020,5.6,2.23,GRP,Germany,228
8324,34200,CHF,28990,Offshore Boat,Baja power boats,"Used boat,Unleaded",1996,9.1,2.5,GRP,Switzerland,799
8325,34150,CHF,28990,Bowrider,AMT power boats,new boat from stock,2019,5.15,2.08,GRP,Switzerland,196
8327,31500,EUR,28900,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,6.5,2.42,GRP,Italy,126
8328,31500,EUR,28900,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,6.5,2.42,GRP,Switzerland,80
8329,28690,Â£,28900,Deck Boat,Jeanneau power boats,new boat from stock,2020,5.46,2.39,PVC,United state,45
8330,34000,CHF,28900,Motor Yacht,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,5.55,2.29,GRP,Switzerland,129
8331,34000,CHF,28900,Pilothouse,Windy power boats,"Used boat,Unleaded",1992,7.85,2.54,GRP,Switzerland,351
8334,31400,EUR,28500,Bowrider,Yamarin power boats,new boat from stock,2020,6.15,2.29,Aluminium,Germany,89
8335,31399,EUR,28500,Bowrider,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,5.33,2.17,GRP,Germany,96
8336,33900,CHF,28390,Motor Yacht,Doral power boats,"Used boat,Unleaded",1995,7.01,2.59,GRP,Switzerland,885
8337,33823,CHF,28000,Pontoon Boat,Sunchaser power boats,"Used boat,Unleaded",2020,5.79,2.29,Aluminium,Switzerland,318
8339,33600,CHF,28000,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.3,2.2,GRP,Switzerland,120
8340,31059,EUR,28000,Center console boat,Jeanneau power boats,new boat on order,2020,7.74,2.52,GRP,Germany,59
8341,31000,EUR,28000,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2011,7.01,2.74,GRP,Croatia,115
8343,31000,EUR,28000,"Cabin Boat,Motor Yacht,Sport Boat",Crownline power boats,"Used boat,Unleaded",1999,8.89,3.15,GRP,Croatia,502
8345,30999,EUR,28000,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.12,2.4,GRP,Germany,114
8346,30900,EUR,28000,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5.47,2.29,GRP,Germany,89
8347,30900,EUR,28000,Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2018,5.5,2.34,PVC,France,41
8348,30499,EUR,28000,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,7.23,2.55,GRP,Germany,176
8349,32900,CHF,28000,Runabout,Safter Marine power boats,"new boat from stock,Unleaded",2020,6.3,2.1,GRP,Switzerland,172
8350,30355,EUR,28000,Bowrider,Yamarin power boats,new boat from stock,2020,6.3,2.35,GRP,Germany,123
8351,32800,CHF,28000,Runabout,Marinello power boats,"new boat from stock,Unleaded",2020,5.3,2.3,GRP,Switzerland,245
8353,30200,EUR,28000,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2012,6.61,2.54,PVC,France,146
8354,32400,CHF,28000,Sport Boat,Boston Whaler power boats,"Used boat,Unleaded",2007,5.79,2.43,GRP,Switzerland,315
8355,27500,Â£,28000,Cabin Boat,Princess power boats,"Used boat,Diesel",1983,9.14,3.35,PVC,United state,146
8356,27495,Â£,27999,Pilothouse,Ocqueteau power boats,new boat from stock,2018,6.22,2.44,PVC,United state,34
8358,32300,CHF,27990,Motor Yacht,Ranieri International power boats,"new boat from stock,Unleaded",2019,5.3,2.2,GRP,Switzerland,183
8359,30000,EUR,27954,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1961,5.45,1.9,Wood,Croatia,266
8360,30000,EUR,27799,Sport Boat,Garin power boats,"Used boat,Diesel",1997,8.35,2.95,GRP,Portugal,64
8361,30000,EUR,27785,Sport Boat,Kelt power boats,"Used boat,Unleaded",1993,8.1,2.47,PVC,France,73
8363,30000,EUR,27699,Sport Boat,Formula power boats,"Used boat,Diesel",1991,11.6,3.51,PVC,Spain,184
8365,30000,EUR,27655,Bowrider,Jeanneau power boats,"Used boat,Unleaded",2017,6.4,2.48,PVC,France,107
8366,30000,EUR,27500,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2013,5.9,2.2,GRP,Germany,95
8367,30000,EUR,27499,Pilothouse,Aquabat power boats,"Used boat,Unleaded",2016,5.95,2.3,GRP,Italy,151
8368,30000,EUR,27490,Cabin Boat,Saphire power boats,"Used boat,Unleaded",2001,8.05,2.3,GRP,Germany,303
8370,30000,EUR,27000,Motor Yacht,Fjord power boats,"Used boat,Diesel",1974,11.81,3.7,GRP,Croatia,167
8371,30000,EUR,27000,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1997,9,2,GRP,Croatia,190
8373,30000,EUR,27000,Sport Boat,Saver power boats,"Used boat,Unleaded",2010,6.98,2.53,GRP,Italy,127
8374,30000,EUR,27000,Motor Yacht,Chaparral power boats,Used boat,2004,7.8,2.59,GRP,Italy,162
8379,29995,EUR,27000,Cabin Boat,Altena power boats,Used boat,1985,10.5,3.25,Steel,Netherlands,100
8380,29990,EUR,27000,Bowrider,Finnmaster power boats,"new boat from stock,Unleaded",2020,5.46,2.1,Aluminium,Germany,86
8382,29990,EUR,27000,Offshore Boat,Ilver power boats,"Used boat,Unleaded",1987,7.8,2.65,GRP,Italy,134
8383,29990,EUR,27000,Trawler,Succes power boats,Diesel,1979,10.5,3.4,Steel,Germany,117
8384,29990,EUR,27000,Sport Boat,Chaparral power boats,Unleaded,1995,7.59,2.59,GRP,Germany,120
8385,29900,EUR,27000,Sport Boat,Marinello power boats,new boat from stock,2015,6.45,2.45,GRP,Germany,152
8386,29900,EUR,27000,Sport Boat,Marinello power boats,new boat from stock,2020,5.65,2.35,GRP,Germany,158
8387,29900,EUR,27000,Sport Boat,Eolo power boats,Used boat,2017,7.3,2.55,GRP,Germany,101
8390,29900,EUR,27000,Bowrider,Marinello power boats,"Display Model,Unleaded",2017,6.45,2.5,GRP,Germany,141
8393,29900,EUR,26999,Sport Boat,Sealine power boats,"Used boat,Diesel",1991,9.98,3.25,GRP,Italy,246
8395,29900,EUR,26900,Bowrider,Bayliner power boats,"new boat on order,Unleaded",2020,4.93,2.18,GRP,Germany,121
8396,29900,EUR,26900,Cabin Boat,Nicols power boats,"Used boat,Diesel",1993,8,2.59,GRP,Germany,112
8397,29900,EUR,26900,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2008,6.1,2.44,GRP,Spain,154
8398,29900,EUR,26900,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2011,7.2,2.51,PVC,France,107
8399,29900,EUR,26900,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2011,6.4,2.53,GRP,Croatia,108
8400,29900,EUR,26900,Cabin Boat,Polar Boats power boats,"Used boat,Unleaded",1993,9,3,GRP,Germany,294
8401,29900,EUR,26900,Cabin Boat,Jeanneau power boats,"new boat on order,Unleaded",2020,6.19,2.46,GRP,Germany,145
8404,29900,EUR,26900,Trawler,Hollandia power boats,Used boat,1978,10.5,3.45,Steel,Netherlands,120
8407,29500,EUR,26900,Sport Boat,Fiart Mare power boats,"Used boat,Diesel",2004,7,2,GRP,Croatia,134
8412,29500,EUR,26500,Sport Boat,Olympic power boats,new boat from stock,2019,5.28,2.28,GRP,Germany,51
8414,29500,EUR,26500,Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2018,5.26,2.34,PVC,France,50
8415,29500,EUR,26500,Sport Boat,Invictus power boats,"new boat on order,Unleaded",2020,6.1,2.4,GRP,Switzerland,181
8416,29500,EUR,26500,Sport Boat,ManÃ² power boats,Used boat,2006,6.9,2.5,GRP,Italy,120
8418,29500,EUR,26500,"Classic,Motor Yacht",Skilso power boats,"Used boat,Unleaded",1966,8.4,2.5,Wood,Netherlands,377
8419,29500,EUR,26400,Sport Boat,Tullio Abbate power boats,"Used boat,Diesel",1984,10.05,3.03,Plastic,Spain,550
8424,29500,EUR,26000,Trawler,Four Winns power boats,"Used boat,Unleaded",2000,8.6,2.59,GRP,Italy,578
8426,29500,EUR,26000,Cabin Boat,Altena power boats,"Used boat,Diesel",1975,9.8,3.15,Steel,Germany,330
8427,29500,EUR,26000,Runabout,Boesch power boats,Used boat,1971,5.8,2.02,Wood,Germany,520
8429,29400,EUR,26000,Motor Yacht,Draco power boats,"Used boat,Unleaded",1984,7.6,2.8,GRP,Germany,242
8431,31530,CHF,26000,Motor Yacht,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.12,2.4,GRP,Switzerland,183
8432,29155,EUR,26000,Sport Boat,Jeanneau power boats,new boat from stock,2020,6.4,2.48,GRP,Germany,62
8433,31500,CHF,26000,Deck Boat,Sea Ray power boats,"Used boat,Unleaded",2000,6.58,2.6,GRP,Switzerland,211
8434,29000,EUR,26000,Pontoon Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,6.7,2.55,GRP,Italy,203
8435,29000,EUR,26000,Sport Boat,Sensation power boats,"new boat from stock,Unleaded",2019,5.1,2.15,GRP,Germany,40
8436,29000,EUR,26000,Motor Yacht,Coverline power boats,Used boat,2004,7.5,2.55,GRP,Italy,84
8438,29000,EUR,25999,Center console boat,Rinker power boats,Used boat,2005,7.56,2.59,GRP,Italy,65
8439,29000,EUR,25999,Motor Yacht,Bruno Abbate power boats,"Used boat,Diesel",1989,10.5,3.25,GRP,Italy,136
8441,29000,EUR,25990,Pontoon Boat,Sciallino power boats,"Used boat,Diesel",1994,7.5,2.5,GRP,Italy,215
8443,29000,EUR,25950,Pontoon Boat,Intermare power boats,"Used boat,Diesel",1997,9,3,GRP,Italy,102
8444,29000,EUR,25680,Sport Boat,Tullio Abbate power boats,"Used boat,Unleaded",1997,7.5,2.34,GRP,Italy,156
8445,29000,EUR,25590,Sport Boat,Four Winns power boats,Used boat,1998,7.92,2.59,PVC,Turkey,75
