,Price,Currency,Euro_Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
2718,446760,EUR,1695000,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,13.43,4.25,PVC,France,68
2719,445000,EUR,1690000,Fishing Boat,Cabo power boats,"Used boat,Diesel",2007,14.67,4.82,GRP,Italy,77
2720,445000,EUR,1685000,Flybridge,Seaway power boats,"Used boat,Diesel",2005,16,4,GRP,Croatia,77
2723,445000,EUR,1650000,Catamaran,Fountaine Pajot power boats,"Used boat,Diesel",2007,13.95,6.55,GRP,France,83
2724,445000,EUR,1607730,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,17,4,GRP,Croatia,98
2725,480000,CHF,1603049,"Classic,Runabout",Pedrazzini power boats,"Used boat,Unleaded",2008,10.3,2.98,Wood,Switzerland,422
2726,3299000,DKK,1595000,Motor Yacht,Marex power boats,"Used boat,Diesel",2020,11.49,3.49,GRP,Denmark,154
2727,441666,EUR,1550000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2015,15.1,4.27,PVC,France,53
2728,495000,CHF,1549000,Hardtop,Marex power boats,new boat from stock,2019,11.49,3.49,GRP,Switzerland,271
2729,457198,EUR,1500000,Pilothouse,Jeanneau power boats,"new boat on order,Diesel",2020,14.3,4.1,GRP,Germany,70
2730,457198,EUR,1500000,Motor Yacht,Jeanneau power boats,"new boat on order,Diesel",2020,14.3,4.1,GRP,Germany,44
2731,456796,EUR,1500000,Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2020,13.93,4.1,PVC,France,50
2732,455000,EUR,1500000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,17.65,4.63,GRP,Turkey,30
2735,453000,EUR,1500000,Trawler,Super Lauwersmeer power boats,Used boat,2017,14.2,4.36,Steel,Netherlands,136
2737,450000,EUR,1500000,Trawler,Doggersbank power boats,"Used boat,Diesel",1990,19,5,Steel,Netherlands,36
2738,450000,EUR,1500000,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",1997,21.5,5.6,GRP,Italy,52
2740,475000,EUR,1499000,Motor Yacht,Dominator power boats,"Used boat,Diesel",2002,20,5,GRP,Croatia,81
2741,475000,EUR,1499000,Trawler,van der Heijden power boats,Used boat,2009,18,5.3,Steel,Netherlands,107
2742,475000,EUR,1499000,Motor Yacht,Leopard power boats,"Used boat,Diesel",2006,24.08,6.04,GRP,France,87
2743,475000,EUR,1495000,Motor Yacht,Wim van der Valk power boats,"Used boat,Diesel",2009,17,4.6,Steel,Netherlands,139
2744,475000,EUR,1490000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2002,20.27,5.21,Carbon Fiber,Spain,183
2746,475000,EUR,1490000,Flybridge,Azimut power boats,"Used boat,Diesel",2006,19.2,5.05,GRP,Croatia,34
2748,475000,EUR,1450000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2017,14.78,4.15,PVC,France,126
2749,475000,EUR,1450000,Motor Yacht,Linssen power boats,"Used boat,Diesel",2015,13.25,4.35,Steel,Netherlands,128
2750,473304,EUR,1450000,Sport Boat,Cranchi power boats,"new boat from stock,Diesel",2020,11.7,3.53,GRP,Italy,228
2751,473000,EUR,1402995,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2013,14.99,4.5,GRP,Spain,110
2752,473000,EUR,1371535,Hardtop,Sealine power boats,"Display Model,Diesel",2020,12,3.85,GRP,Germany,140
2755,490000,EUR,1350000,Motor Yacht,Marquis power boats,"Used boat,Diesel",2008,15.09,4.88,GRP,Croatia,45
2757,490000,EUR,1350000,Hardtop,Azimut power boats,"Used boat,Diesel",2005,21.14,5.07,GRP,Spain,103
2758,490000,EUR,1349000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,20.06,5.45,GRP,Spain,179
2760,490000,EUR,1339000,Flybridge,Dalla Pieta power boats,"Used boat,Diesel",2001,21.09,5.7,GRP,Croatia,84
2761,490000,EUR,1312560,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2014,14.99,4.65,PVC,France,58
2762,490000,EUR,1300000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2014,14.99,4.65,PVC,France,169
2763,490000,EUR,1300000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2009,19.51,4.75,GRP,Italy,75
2764,490000,EUR,1300000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2014,15.1,4.32,PVC,France,56
2767,489900,EUR,1295000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2011,15.75,4.29,GRP,United state,153
2769,455000,Â£,1290000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2007,18.29,5,GRP,France,62
2770,455000,Â£,1289000,Motor Yacht,Princess power boats,"Used boat,Diesel",2012,14.72,4.35,GRP,Spain,154
2771,499000,EUR,1285000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2006,18.4,4.9,GRP,Croatia,39
2772,499000,EUR,1280500,Motor Yacht,Fairline power boats,"Used boat,Diesel",2014,15,4.32,GRP,Croatia,96
2773,499000,EUR,1275000,Flybridge,Princess power boats,"Used boat,Diesel",2008,19.2,4.88,GRP,Croatia,86
2775,499000,EUR,1270000,Flybridge,Dominator power boats,"Used boat,Diesel",2006,19.51,5.18,GRP,Croatia,43
2776,499000,EUR,1232966,Motor Yacht,Elegance power boats,"Used boat,Diesel",2008,16.4,4.8,GRP,Croatia,37
2777,499000,EUR,1222776,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2015,15.2,4.47,PVC,France,49
2778,499000,EUR,1203950,Flybridge,Aicon power boats,"Used boat,Diesel",2007,20.41,5.28,GRP,Italy,93
2779,499000,EUR,1200000,Offshore Boat,Sunseeker power boats,"Used boat,Diesel",2006,18.9,5,GRP,France,100
2781,499000,EUR,1200000,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,13.43,4.2,PVC,France,34
2782,499000,EUR,1200000,Flybridge,Princess power boats,"Used boat,Diesel",2008,19.3,5.03,GRP,Croatia,76
2783,499000,EUR,1200000,Catamaran,Leopard power boats,"Used boat,Diesel",2015,15.54,7.64,GRP,Croatia,62
2785,535441,EUR,1197600,Hardtop,Sealine power boats,"new boat from stock,Diesel",2020,13.55,4.2,GRP,Germany,55
2786,535000,EUR,1195000,Motor Yacht,Ferretti power boats,"Used boat,Diesel",2004,20,5.25,GRP,Italy,80
2787,535000,EUR,1190000,Flybridge,Sessa power boats,Used boat,2010,16.36,4.7,GRP,Netherlands,95
2788,535000,EUR,1190000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2016,15.2,4.5,PVC,France,82
